Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
NET,40.08,Call,50.00,08/21/20,42,1.90,1.92,1.95,1.94,758,748,1.01,91.39%,07/10/20
BYND,135.03,Call,200.00,08/21/20,42,2.36,2.49,2.62,2.49,824,1841,0.45,91.39%,07/10/20
TLRY,8.01,Call,8.50,08/07/20,28,0.60,0.63,0.65,0.61,871,5202,0.17,91.15%,07/10/20
CCL,16.16,Call,15.00,01/15/21,189,4.50,4.65,4.80,4.65,648,11795,0.05,91.09%,07/10/20
CNX,8.43,Put,8.00,08/21/20,42,0.75,0.78,0.80,0.80,15848,365,43.42,90.91%,07/10/20
SNAP,25.53,Put,21.50,07/31/20,21,0.59,0.62,0.65,0.62,3637,164,22.18,90.84%,07/10/20
SABR,8.21,Put,7.50,08/21/20,42,0.55,0.63,0.70,0.64,11203,8515,1.32,90.59%,07/10/20
W,223.76,Call,310.00,08/21/20,42,5.60,6.05,6.50,6.00,511,683,0.75,90.57%,07/10/20
RVLV,17.2,Put,17.50,08/21/20,42,2.30,2.53,2.75,2.25,1855,1800,1.03,90.31%,07/10/20
BBBY,8.19,Call,10.00,01/21/22,560,2.90,3.05,3.20,3.05,643,7584,0.08,90.21%,07/10/20
FTCH,21.32,Call,22.00,08/21/20,42,2.23,2.33,2.43,2.32,1108,625,1.77,90.17%,07/10/20
FTCH,21.32,Call,25.00,08/21/20,42,1.14,1.3,1.46,1.35,585,377,1.55,90.02%,07/10/20
X,7.36,Call,8.00,07/31/20,21,0.35,0.38,0.40,0.39,516,616,0.84,89.93%,07/10/20
TSLA,1544.65,Call,1500.00,01/15/21,189,406.85,411.43,416.00,412.00,734,3783,0.19,89.69%,07/10/20
PLUG,9.3,Call,5.50,01/15/21,189,4.20,4.4,4.60,4.35,559,4154,0.13,89.61%,07/10/20
HMY,5.82,Call,6.00,08/21/20,42,0.55,0.6,0.65,0.63,710,3902,0.18,89.46%,07/10/20
UAL,32.67,Call,35.00,01/15/21,189,7.15,7.4,7.65,7.50,1314,4352,0.3,89.41%,07/10/20
JWN,15.76,Call,22.50,10/16/20,98,1.01,1.11,1.20,1.10,751,5172,0.15,89.28%,07/10/20
ROKU,153.05,Call,200.00,08/21/20,42,5.30,5.45,5.60,5.49,995,410,2.43,89.26%,07/10/20
TLRY,8.01,Call,10.00,09/18/20,70,0.60,0.62,0.64,0.62,689,25819,0.03,89.17%,07/10/20
XENT,18.06,Call,27.50,08/21/20,42,0.05,0.28,0.50,0.25,2001,4002,0.5,88.89%,07/10/20
JWN,15.76,Call,25.00,10/16/20,98,0.66,0.78,0.90,0.75,570,4452,0.13,88.63%,07/10/20
